"","support_acc_n_backward","support_acc_n_bbssl","deviations_SP_hybrid_over_n","deviations_sslasso_over_n","nobs_list","ncomb","nsim"
"1",0.544202380952381,0.31643253968254,0.165445797379965,0.215278705270358,1000,5,20
"2",0.631746031746032,0.328920634920635,0.192279594542917,0.193365841484372,1292,5,20
"3",0.704,0.389400793650794,0.120338871480217,0.226672922867215,1668,5,20
"4",0.750166666666667,0.399543650793651,0.0933976691018463,0.154806254132119,2154,5,20
"5",0.794857142857143,0.46252380952381,0.0507136614795125,0.0984428821769961,2783,5,20
"6",0.821666666666667,0.480420634920635,0.0414406819236025,0.105772806596351,3594,5,20
"7",0.8225,0.525714285714286,0.0317711573305382,0.119517576137573,4642,5,20
"8",0.895,0.593809523809524,0.0282584511209974,0.112909791921032,5995,5,20
"9",0.901666666666667,0.686738095238095,0.0237915594812696,0.0984866338066292,7743,5,20
"10",0.911666666666667,0.715666666666667,0.0186321465214506,0.0911100004647983,10000,5,20
