"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"1",1.68213962609142,0.0626682019304236,-0.234474255420929,1
"2",0.227259839815732,-1.66303025314779,1.06516684713782,1
"3",1.52271015737572,-0.77386205986375,0.609622656311643,1
"4",0.378010795036113,0.0726638387346526,-1.2940280207906,1
"5",0.0492568602297877,-1.9982488271617,-0.82098065450516,1
"6",0.541606088247954,-0.422610540443989,0.754926760249972,1
"7",0.0212759444452219,0.469386726746196,-0.57112403661426,1
"8",0.0420239252904023,-0.683679647352114,0.737804771097384,1
"9",0.236367829111529,-0.440841397769585,0.472451837346934,1
"10",0.799213553023191,1.29712073222042,-0.122973463786882,1
"11",0.354337077356899,1.16270632991777,-0.349610090634322,1
"12",0.728398489169645,1.44008816038935,1.67876779185257,1
"13",-0.0921841786839939,0.212808493964608,1.79081540661699,1
"14",-0.567670426803151,-0.05505783435818,0.266096794630756,1
"15",1.2842002653319,1.260265687556,0.138406340082985,1
"16",-1.66435179062514,0.914918127169221,-1.15013542899281,1
"17",-0.820593407177048,-0.189596856418286,0.0780232722715424,1
"18",-1.54426050246716,0.0248732484038785,0.274688752358954,1
"19",-0.424831130725149,1.07482275315646,-0.493697382855905,1
"20",-0.0338357083433826,0.82928312150118,1.16821384284995,1
"21",-0.00075572949966287,-0.754146832252248,0.0583512517882927,1
"22",-1.23146893702936,-0.667095459428757,1.95003553570223,1
"23",0.0737595397855767,-1.3734040646635,-1.54743430862929,1
"24",-0.168224114076553,0.182303623201666,0.578254139465308,1
"25",-0.6235930411208,0.486751161604934,1.90664350201359,1
"26",-0.362901412551916,-1.22949270848593,0.873605796965933,1
"27",1.31421511360847,-0.173543676710243,1.53915897208107,1
"28",0.669778063195901,-0.146768921666988,0.563622574301898,1
"29",1.21282362964067,1.14721660979464,0.0612261868932787,1
"30",0.489835637847505,-0.442038635976449,0.437843074996399,1
"31",0.0853788685962425,-0.778929058748835,0.841312712014407,1
"32",-1.12325395198861,-1.32934045100653,-1.60116210587356,1
"33",0.279309595536729,-0.651091158086368,-1.08924811690898,1
"34",0.476709066600251,-0.264763773308592,-0.996603369590179,1
"35",0.589676233238115,1.71769871996807,-1.31970738177822,1
"36",0.269416512720183,-0.0189337968052817,-0.136788269027437,1
"37",-1.08063064618496,-0.026346255001012,-2.22425827188348,1
"38",0.608736183266551,-0.557224893592512,-0.989593339553015,1
"39",1.76083388387462,1.75258395858026,-0.131539471261208,1
"40",0.542600734092881,-0.18266732494504,-1.32003531534769,1
"41",-1.15526554471652,0.0508872830048925,-0.195895682121981,1
"42",0.132886614513142,-1.51699242699684,0.300142251392378,1
"43",-0.931644188257585,1.36776197758238,0.874579710798872,1
"44",-0.749916921844628,0.794676464389356,0.298994988095198,1
"45",0.665030908174231,-0.721673985206702,-1.48750890859634,1
"46",0.0488837076838751,0.630802423414665,-0.716990972059494,1
"47",-0.378105787402201,-0.549787525254942,-0.877902802197459,1
"48",-0.452967464155717,0.26933926780928,0.22986764604621,1
"49",-0.0698985732269613,-0.750529496340594,-0.703270468391153,1
"50",-1.89029755247008,-0.80758522221018,-1.06978226448765,1
"51",-0.68622929192659,0.610993048202952,0.658855835763262,1
"52",-1.42425064865965,-0.851383042558328,-0.714589263675364,1
"53",0.886330018612722,0.270627895233775,1.98577828354061,1
"54",-0.336503282671608,-0.0631610784449061,-0.593265011995545,1
"55",-0.752616581492361,0.759751937011455,1.01290829119025,1
"56",-0.120613712591192,-1.24632466612127,-1.31469240078903,1
"57",0.746151991200577,0.161142765049834,-0.566048272674987,1
"58",-0.635175229444228,1.65622537055867,2.04378904739148,1
"59",-0.185943676301074,0.00952872290020932,-0.0555330094415846,1
"60",0.0941725968834346,-0.182906837069479,-0.00507681358873635,1
"61",1.34525666072406,0.866984960664059,-0.00286974203034641,1
"62",-1.74044259080789,-1.06341272331696,-0.654416563938434,1
"63",-0.727937127821272,-0.888163003720214,-1.7158158598571,1
"64",0.231998885372224,-0.0564770214607443,-0.779482021195208,1
"65",0.14586604593933,0.437798004231314,1.87936418789553,1
"66",-0.8909733446806,-2.19162129246321,-0.207133300914885,1
"67",1.48930049708887,0.103174995388902,0.637443414755064,1
"68",-0.287645642031177,-0.330006873014397,-2.08566282411136,1
"69",0.521686249165398,1.25129336676337,0.500021450874388,1
"70",-1.16019715458087,-0.155928909871017,-0.919609061808005,1
"71",-1.58377391073563,-0.989163618471201,0.254073038452245,1
"72",-0.657579258184683,-0.0659139436077008,-2.36621473225705,1
"73",0.21920855056409,-0.58857635399967,-0.108483202689403,1
"74",-0.599489993710298,-0.411023455843268,0.030893536257811,1
