"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 4, 2)Xc(1, 5, 2)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"1",0.85852838853841,1.08370235273637,-0.457339486566675,NA,0.995
"2",1.01635214292699,0.716951784587166,0.937078941099912,NA,0.995
"3",0.212220181523018,-0.05703358673917,-0.195453279587892,NA,0.995
"4",1.43495334657641,-0.615863068247214,0.110740972944833,NA,0.995
"5",-0.614877612439739,-2.0877347366037,-2.11639150002259,NA,0.995
"6",-0.647598621852765,-0.242207608140082,2.72072505327751,NA,0.995
"7",1.78787083070779,-0.484211036338823,-0.11781570917311,NA,0.995
"8",-0.0683742958228067,0.815744522462269,-0.476530169929342,NA,0.995
"9",-0.0677911474760614,-0.306272975561792,0.590815102596806,NA,0.995
"10",-0.641746902303492,-0.676682251327483,-0.972512563322001,NA,0.995
"11",-0.923532795996808,-0.547456240829454,0.316862341169022,NA,0.995
"12",1.48514741091378,0.497531183611276,0.699793444859992,NA,0.995
"13",-0.681522896589515,-1.20649271559701,0.528714943084208,NA,0.995
"14",-0.0368998043654027,0.63295989607055,-1.29376698299691,NA,0.995
"15",0.297444508465109,-1.41110635450613,0.817438663084316,NA,0.995
"16",0.987853994149734,0.985758975414828,0.280558013343064,NA,0.995
"17",0.0371019440286203,-0.442511274957235,-0.294309785804907,NA,0.995
"18",0.338544004879015,-1.7097500099165,-0.53121718695334,NA,0.995
"19",-1.99910326545903,-0.581923991461669,0.902208404220857,NA,0.995
"20",0.394724352624168,-1.30848970675707,0.301285170296097,NA,0.995
"21",-0.780869004209152,0.205196188849972,-0.456534907868308,NA,0.995
"22",1.38468579139637,-0.444983697550892,0.126566092367121,NA,0.995
"23",-0.32161627726802,-0.190497310004679,0.382970850104338,NA,0.995
"24",1.32089588420759,0.360889561841954,-0.548238337035657,NA,0.995
"25",0.432978648981258,1.18848135743613,-0.302140192924821,NA,0.995
"26",-0.523786582274427,-0.51407919170689,-0.849685988399339,NA,0.995
"27",-0.243973201904959,-1.22433685875171,0.565822808212681,NA,0.995
"28",-0.508225353917625,-1.07643450722479,0.506064010794439,NA,0.995
"29",0.428972744227763,0.0569819017190557,-0.859152390137218,NA,0.995
"30",0.505253387772094,0.423955637840963,0.952063734389868,NA,0.995
"31",-0.442769043940171,1.54502618780083,0.599042138262267,NA,0.995
"32",-0.82206102817217,-1.14506069035736,-2.06779094825442,NA,0.995
"33",-0.475824339907495,-1.2564223097077,1.07003354970388,NA,0.995
"34",0.513799917082725,1.74323354268103,-0.130053510725193,NA,0.995
"35",1.24606159919214,1.26335668521453,0.913502050802007,NA,0.995
"36",-2.09889279436713,-0.719019953376367,-2.07171260327828,NA,0.995
"37",-3.07823931197644,-2.12624392539432,-1.10657179123963,NA,0.995
"38",0.700281826975119,-0.595158186173404,0.261223811199438,NA,0.995
"39",-0.858470660746916,0.216808958877185,-1.088670197325,NA,0.995
"40",-0.280936481347933,-0.206115564024593,0.711347636952728,NA,0.995
"41",-1.44860283191166,1.1753857148639,-0.012330551845832,NA,0.995
"42",-1.51865889516074,-0.45216606382038,0.186797013960942,NA,0.995
"43",1.00278329150841,1.0727306996996,0.798979508022274,NA,0.995
"44",-0.0155794345472919,1.31512690726748,-1.34513217822239,NA,0.995
"45",-0.482841355153857,0.229460545860958,0.822883973972791,NA,0.995
"46",-1.37081546390541,0.409107798782184,-1.54834039059592,NA,0.995
"47",0.749421769309946,-1.2341083379612,0.272027623570791,NA,0.995
"48",-0.210266175930583,0.307488098205382,-0.845803285959564,NA,0.995
"49",0.820649607379999,0.12497478403176,1.36643467851523,NA,0.995
"50",-0.349283707820246,-0.542996900504904,2.00069405133571,NA,0.995
"51",1.29522439002161,-0.0116730996748888,0.608555933196627,NA,0.995
"52",0.0784128940161945,1.08522214705612,-0.452205020047914,NA,0.995
"53",-1.89663861646938,-0.207577992691603,-1.8460772118811,NA,0.995
"54",1.57866227449313,0.330385019544721,-0.000539958327665392,NA,0.995
"55",-0.30407712943998,-0.447055119286975,1.13385316085615,NA,0.995
"56",-1.19439574240594,-1.16176580275127,0.035332187923212,NA,0.995
"57",-0.0631395019523201,0.25855720422576,-0.277928890605657,NA,0.995
"58",-0.106444892979161,-0.516410879276289,-1.96572844714041,NA,0.995
"59",0.902468736037768,2.24078528220393,-0.102536521292887,NA,0.995
"60",0.472502030731473,-1.4923383369236,-0.28697664554843,NA,0.995
"61",0.713325512539239,1.31777351500806,0.903877308273879,NA,0.995
"62",-0.708473001183807,1.140388457215,-1.48758926977796,NA,0.995
"63",0.23036388203404,-0.00382536817675737,1.8814964352432,NA,0.995
"64",0.401621419877322,-1.35335950915279,-0.866506009613628,NA,0.995
"65",-0.220178365174173,-2.09320496899781,-0.0247701845775196,NA,0.995
"66",-2.02762659841096,-0.617726132808612,0.90042453635989,NA,0.995
"67",-0.474443627896852,-0.128569553214235,-0.893160057465252,NA,0.995
"68",-1.40433940802314,-0.447489200857963,-0.51390899085236,NA,0.995
"69",-1.04282993600715,-0.502675161451174,0.80296061844995,NA,0.995
"70",-0.113112553886076,-0.461094640091981,-1.00324063065342,NA,0.995
"71",0.0180540207230353,0.239467378924114,0.783618801389919,NA,0.995
"72",1.18036221059035,-2.5023647530449,-1.22956541539169,NA,0.995
"73",1.58860341400262,-0.709163968200889,-0.76905227997283,NA,0.995
"74",0.706504487253228,1.60954985249471,0.437122713912225,NA,0.995
"75",0.620883491646649,-0.568425702365725,NA,1.26097483255409,0.995
"76",-0.41165849778883,0.637183070764008,1.03255548105077,NA,0.995
"77",-2.8994664971,0.490264575632307,1.5743206903981,NA,0.995
"78",-0.468504479258433,0.804131329914213,1.31015795749709,NA,0.995
"79",0.614807998923165,-0.658285593132944,-0.351649469240435,NA,0.995
"80",0.362839168236152,-0.139596023156824,0.276387698313645,NA,0.995
"81",0.0706652016717097,-0.914836803772373,-0.216006239178388,NA,0.995
"82",-1.27671456674436,0.0123176118366088,1.84195440814271,NA,0.995
"83",-0.628515718764462,0.528000572080811,2.00541139794616,NA,0.995
"84",-1.14425568582411,0.459180034644442,1.37671741470889,NA,0.995
"85",-1.49818308856684,0.303535248265455,0.48790595803874,NA,0.995
"86",-0.51077856917731,2.65148647438757,-1.81009108219569,NA,0.995
"87",0.0942080875845449,0.228892556064401,1.75229576031469,NA,0.995
"88",-0.320359901071902,-0.511755508672229,1.48326088266674,NA,0.995
"89",0.48167439638338,-1.23352276302345,-1.37735888179999,NA,0.995
"90",-0.822826825521679,1.09802743542725,-1.3665265590075,NA,0.995
"91",-0.751716512597675,-0.34834175690828,-0.954188256281475,NA,0.995
"92",2.13721264939387,-0.223695145575325,0.25393649311327,NA,0.995
"93",-0.520628530709609,1.26235231559824,0.771616947983872,NA,0.995
"94",-0.427177055482214,0.0104669352656221,0.410903816882593,NA,0.995
"95",1.01198998087104,0.292108141968048,-1.35161158170556,NA,0.995
"96",-1.764647584036,0.726652906148764,-2.93661887692376,NA,0.995
"97",1.38463360987161,1.90911906809384,-1.70264394956534,NA,0.995
"98",1.10544830655267,-0.369939300052612,1.56671364594956,NA,0.995
"99",0.462996858056019,0.359428476048358,0.240703206558269,NA,0.995
"100",-0.45527806840272,-0.623873605693788,-0.538325562294113,NA,0.995
"101",-0.832176338141689,-1.81365748536266,1.0667906292514,NA,0.995
"102",-0.545122893000108,0.639438143177753,-0.856124853342756,NA,0.995
"103",0.852812568073582,-0.446545526129239,-0.079922182384313,NA,0.995
"104",1.33339534611627,-0.171563233227926,-0.894861809725972,NA,0.995
"105",-2.00345529970577,-0.979106628861521,-0.515777051343607,NA,0.995
"106",1.01837159787456,-0.670195123518592,0.291664776212817,NA,0.995
"107",0.949587079673988,-0.554528481381909,-1.03136585489503,NA,0.995
"108",0.909026281797302,-0.138995413513054,-1.09824807183705,NA,0.995
"109",0.293513204295794,0.479683207874968,0.364445052865988,NA,0.995
"110",-2.77437754038932,1.75774035610036,1.95866584415159,NA,0.995
"111",-0.942995425165431,-1.1675284462946,1.14911627320339,NA,0.995
"112",0.799075904345807,1.97150507954597,1.87222794562165,NA,0.995
"113",0.992365143020863,0.844166162612368,-0.272399297776789,NA,0.995
"114",-0.28139786850839,-0.0343787353757769,-0.182637924507641,NA,0.995
"115",0.264678393698547,0.238521840578562,-1.3027180672497,NA,0.995
"116",0.191891652812859,0.158560457958327,-0.28766114822117,NA,0.995
"117",-0.3424184572942,-1.04623636499695,0.697602227795484,NA,0.995
"118",0.913317081943134,-0.341152225229962,-0.505949094052544,NA,0.995
"119",-1.11049889615711,1.08733983031907,1.50296956286853,NA,0.995
"120",0.501123025820511,-0.668081321519658,1.42688152079914,NA,0.995
"121",2.3341330458103,0.606923621346851,0.870966828897917,NA,0.995
"122",-0.562339604451508,1.39932556192145,-2.94491391891356,NA,0.995
"123",-1.77640021954335,0.0340941131059851,0.339959443127826,NA,0.995
"124",-1.13206984413321,-1.63208875760668,1.45319460697785,NA,0.995
"125",1.43995434997329,-0.917370360997508,1.03764890336141,NA,0.995
"126",-1.22862343892105,-0.220935251175945,0.840211233796962,NA,0.995
"127",0.359583261906801,0.489306960335289,0.0341529760011951,NA,0.995
"128",-0.308366493269537,0.0308955949356033,0.387492395592832,NA,0.995
"129",0.687395966669515,0.630222877318335,0.853620605352473,NA,0.995
"130",-1.43339536305005,-0.595361942944793,-0.749092288378717,NA,0.995
"131",-0.269752655017568,1.289185917154,-0.0114685532906892,NA,0.995
"132",-0.25525167918293,-0.250657312852679,1.14714968911677,NA,0.995
"133",1.5302013067867,0.301835814289608,-0.356812136145229,NA,0.995
"134",-0.313524706483459,-0.618731479042586,1.46106289906039,NA,0.995
"135",-0.906608472872764,-0.611072265889183,1.91651005795853,NA,0.995
"136",-0.803099766732001,0.899508039007794,-1.84215437687668,NA,0.995
"137",0.617177069844727,-1.62776820235039,-1.62229508809417,NA,0.995
"138",-0.892157602776344,-0.0818412005432269,1.40988548478079,NA,0.995
"139",0.780068157423935,-1.18633828821743,-1.41545339034091,NA,0.995
"140",1.00237208462481,-0.507838147657899,-0.929937531220189,NA,0.995
"141",-0.498519236372052,-0.73193236173047,0.541422423238347,NA,0.995
"142",0.970366583853014,0.434084928206929,0.445587528970054,NA,0.995
"143",0.52896748134417,-0.346886864505906,2.44152080672459,NA,0.995
"144",0.13304019074541,-0.197254137035548,0.106638359715488,NA,0.995
"145",0.335309257060602,-1.17589232677025,0.62383005749669,NA,0.995
"146",-1.96223001947734,0.647998849818168,0.943263798297361,NA,0.995
"147",0.102677952558695,-0.164365036678242,-1.66996106581001,NA,0.995
"148",-0.169709084739385,0.851930298482463,-0.0517231149772132,NA,0.995
"149",-0.708529136568421,0.698563877811422,-0.621215449911377,NA,0.995
"150",1.27317016167216,0.433174151612434,-0.320970281240414,NA,0.995
"151",0.178721809320712,1.35408966090034,0.785880372708598,NA,0.995
"152",-0.407673381466455,0.0409297566361419,-0.872426479415164,NA,0.995
"153",-0.00193208521243984,0.445500009781698,0.312073322593527,NA,0.995
"154",0.214524715076758,0.391482727013352,0.190227940411293,NA,0.995
"155",-1.26583732216296,0.0695854475733624,-0.398478755303678,NA,0.995
"156",0.988280523227528,-0.906819416693874,-1.07802762616035,NA,0.995
"157",0.260469036472453,-0.112348085361075,-1.08818504617962,NA,0.995
"158",-0.757070810908076,-0.510194115707601,0.199394532975712,NA,0.995
"159",1.7681537039312,-0.820377433989674,-0.525252539663322,NA,0.995
"160",0.82096910302512,1.71551672811757,0.513196867097046,NA,0.995
"161",-1.85350709190722,2.31096632068484,3.41377415491796,NA,0.995
"162",0.587702595067301,1.77111540728076,-0.750885851146069,NA,0.995
"163",-0.135755469381698,0.757313035709436,-0.164092686736963,NA,0.995
