"","deviations_beta_hybrid_over_n","deviations_SP_hybrid_over_n","nobs_list","nsim"
"1",1.72906847898275,0.0762880081214189,1000,20
"2",1.13350814543734,0.0750103541967134,1292,20
"3",1.10174023263508,0.0867623590922251,1668,20
"4",0.69250727722554,0.0680793043793861,2154,20
"5",0.405828139082538,0.0302478495039321,2783,20
"6",0.365033742915051,0.0223379250010824,3594,20
"7",0.150737193459329,0.011286490918714,4642,20
"8",0.201895972061435,0.0116396401385333,5995,20
"9",0.171934629526181,0.0115797810261585,7743,20
"10",0.105433484810204,0.013181030837897,10000,20
