Policies,estimate
Pool 1,0.7016573185237475
Pool 1,0.8816045422124821
Pool 1,0.749344933130465
Pool 1,0.81709714273881
Pool 1,0.7652376709678762
Pool 1,0.8183788379952105
Pool 1,0.768301358026584
Pool 1,0.8050984459012426
Pool 1,0.7971464335806283
Pool 1,0.676022259499826
Pool 1,0.7601332660984782
Pool 1,0.7918335912337645
Pool 1,0.7272555342524084
Pool 1,0.8686602039993336
Pool 1,0.8376255010314348
Pool 1,0.8804962139026412
Pool 1,0.8274869297461418
Pool 1,0.75332895092879
Pool 1,0.7517170073139455
Pool 1,0.713627565065963
Pool 1,0.8213900041098215
Pool 1,0.8114118803832289
Pool 1,0.6789714506967364
Pool 1,0.8406225245056895
Pool 1,0.661589223027932
Pool 1,0.7749293935637482
Pool 1,0.5991507900462443
Pool 1,0.8634588134940377
Pool 1,0.6551889564550708
Pool 1,0.650740055948393
Pool 1,0.8502931823703456
Pool 1,0.7868990157374508
Pool 1,0.8301349146841479
Pool 1,0.7077484383072593
Pool 1,0.7690995011220801
Pool 1,0.7664061237763358
Pool 1,0.7362224553059016
Pool 1,0.8278085005136051
Pool 1,0.8776389529493794
Pool 1,0.7927186602147367
Pool 1,0.7795911204033861
Pool 1,0.8095783632444954
Pool 1,0.7638248408624999
Pool 1,0.8786714995416286
Pool 1,0.8535548276471167
Pool 1,1.0211659219670073
Pool 1,0.9143138817487177
Pool 1,0.8154971823915119
Pool 1,0.9705366845807801
Pool 1,0.7920118030120452
Pool 1,0.696887546138839
Pool 1,0.8955600742415839
Pool 1,0.8641029217585364
Pool 1,0.8785837255256191
Pool 1,0.923956302611279
Pool 1,0.8639411165198849
Pool 1,0.8463889859486854
Pool 1,0.8691157225619206
Pool 1,0.8710758552836195
Pool 1,0.9120610159819329
Pool 1,0.7121497885712023
Pool 1,0.8302227960487366
Pool 1,0.880220201145414
Pool 1,0.7458087800138771
Pool 1,0.9241086272568352
Pool 1,0.8535491971418032
Pool 1,0.8157263682402102
Pool 1,0.8390316400679438
Pool 1,0.5691412836639503
Pool 1,0.7759380705883142
Pool 1,0.8052883725777384
Pool 1,0.7958172312341931
Pool 1,0.8464409096759505
Pool 1,0.7444367202212916
Pool 1,0.8909363549724836
Pool 1,0.8834645028256864
Pool 1,0.8817223101721574
Pool 1,0.7634531502267088
Pool 1,0.6519133775514463
Pool 1,0.8993278101549573
Pool 1,0.8192887000299482
Pool 1,0.8143695898948129
Pool 1,0.8613028937936927
Pool 1,0.7252155505863804
Pool 1,0.7529105724537378
Pool 1,0.7346706236409859
Pool 1,0.7715496314000968
Pool 1,0.9072123847351112
Pool 1,0.7955035197935946
Pool 1,0.9324120827989076
Pool 1,0.7598629281378737
Pool 1,0.752803242706231
Pool 1,0.6778974875611913
Pool 1,0.9213356914585553
Pool 1,0.6947817363174504
Pool 1,0.6598962643958738
Pool 1,0.7651143218442649
Pool 1,0.8612441739989241
Pool 1,0.839093157899521
Pool 1,0.7407496429562915
Pool 1,0.8271159637219396
Pool 1,0.8280184393817492
Pool 1,0.916866879131607
Pool 1,0.8124340922337105
Pool 1,0.7783851099774203
Pool 1,0.8293949445883839
Pool 1,0.8418282007133586
Pool 1,0.9195325581629965
Pool 1,0.7338550524996323
Pool 1,0.7004135111438874
Pool 1,0.7206476626387275
Pool 1,0.6717363235692229
Pool 1,0.8240806854419612
Pool 1,0.6822947073220132
Pool 1,0.7858449423619545
Pool 1,0.795331753104194
Pool 1,0.9974280285345435
Pool 1,0.8245855669312359
Pool 1,0.8651484241451666
Pool 1,0.6167855945499872
Pool 1,1.0578496955342114
Pool 1,0.8870846458058488
Pool 1,0.859244649835539
Pool 1,0.8325693386064407
Pool 1,0.849691199488862
Pool 1,0.8726810005720027
Pool 1,0.7564351763922376
Pool 1,0.5717909642780531
Pool 1,0.7996203876988258
Pool 1,0.6497532284782532
Pool 1,0.6797044448860764
Pool 1,0.8516876873107307
Pool 1,0.6690342702876293
Pool 1,0.7527441346680025
Pool 1,0.9890687221212241
Pool 1,0.8607355323529178
Pool 1,0.7923423873464672
Pool 1,0.7583785771318317
Pool 1,0.949679386086662
Pool 1,0.833565067222007
Pool 1,0.7092696175736072
Pool 1,0.7601715220963358
Pool 1,0.6901756529943593
Pool 1,0.6387852381779048
Pool 1,0.8995254036765248
Pool 1,0.7216659809297821
Pool 1,0.8345139390144252
Pool 1,0.7222483938917137
Pool 1,0.7357457778629335
Pool 1,0.796745781880714
Pool 1,0.864443277070117
Pool 1,0.8641230884856504
Pool 1,0.7654499666269854
Pool 1,0.7233125128462401
Pool 1,0.7960404363149087
Pool 1,0.8308713615931445
Pool 1,0.8592518817914108
Pool 1,0.7253886016892639
Pool 1,0.7724343552085049
Pool 1,0.7816378667739856
Pool 1,0.7392755674689321
Pool 1,0.7805841985382372
Pool 1,0.8528976420536196
Pool 1,0.7699534155856774
Pool 1,0.7884828573893097
Pool 1,0.8227031415390798
Pool 1,0.7620622688580495
Pool 1,0.6997934779759282
Pool 1,0.8071300034692839
Pool 1,0.8822223817238974
Pool 1,0.7700632976998414
Pool 1,0.8745403602570012
Pool 1,0.7839320003832977
Pool 1,0.8032489523359734
Pool 1,0.7183743859331347
Pool 1,0.8277583580222216
Pool 1,0.8121711554892519
Pool 1,0.754485288609329
Pool 1,0.7264978240506464
Pool 1,0.8482766659749899
Pool 1,0.8069456574003446
Pool 1,0.8204010255117685
Pool 1,0.8201354871133457
Pool 1,0.9078744466103067
Pool 1,0.6593778755254506
Pool 1,0.7596073247604271
Pool 1,0.9294732880684801
Pool 1,0.7709748153640601
Pool 1,0.880064820917429
Pool 1,0.9178106258155072
Pool 1,0.8221394627598818
Pool 1,0.9393658749882886
Pool 1,0.6779574289752114
Pool 1,0.7328124744891849
Pool 1,0.8175483635519557
Pool 1,0.7299045234131041
Pool 1,0.7494025888346947
Pool 1,0.8705289017986341
Pool 1,0.8301297463321285
Pool 1,0.707868540284078
Pool 1,0.7187928481707447
Pool 1,0.6349582042056212
Pool 1,0.8762905686222356
Pool 1,0.7907310110114865
Pool 1,0.9147861532895843
Pool 1,0.6254920405167127
Pool 1,0.8389974238962354
Pool 1,0.7814402130087855
Pool 1,0.8520447170960048
Pool 1,0.7894776516522456
Pool 1,0.7471388547046643
Pool 1,0.7023028971989282
Pool 1,0.7600856601316279
Pool 1,0.7034175482311859
Pool 1,0.893864844233016
Pool 1,0.8357558310475324
Pool 1,0.8030812728124893
Pool 1,0.7412717633882897
Pool 1,0.7138876670318878
Pool 1,0.86513473030503385
Pool 1,0.6775323719467577
Pool 1,0.9696082132009948
Pool 1,0.7458603612240052
Pool 1,0.710437499543774
Pool 1,0.777438692625724
Pool 1,0.8444324419200813
Pool 1,0.6713289426908717
Pool 1,0.7857340056839712
Pool 1,0.7244990444021483
Pool 1,0.8169081480468035
Pool 1,0.7282761905204128
Pool 1,0.8289631233505426
Pool 2,1.1460810638947783
Pool 2,1.2796802777045995
Pool 2,1.1863558164798942
Pool 2,1.2612898888855244
Pool 2,1.2347045575506357
Pool 2,1.1887980466266472
Pool 2,1.2322850623302897
Pool 2,1.1643595676353153
Pool 2,1.1069051396363525
Pool 2,1.2131662886241732
Pool 2,1.2458630117107878
Pool 2,1.225384511104048
Pool 2,1.2599327261256557
Pool 2,1.2014725959564183
Pool 2,1.2477578272953367
Pool 2,1.1179276070509219
Pool 2,1.2186971362246612
Pool 2,1.200979950016921
Pool 2,1.1658385125601871
Pool 2,1.185943578323837
Pool 2,1.1492538289845227
Pool 2,1.2908688804876984
Pool 2,1.159936135249847
Pool 2,1.1615618465234878
Pool 2,1.0775979928114605
Pool 2,1.1966165633433952
Pool 2,1.1738224702593087
Pool 2,1.1932980926625294
Pool 2,1.2810735686114316
Pool 2,1.0787957801371437
Pool 2,1.1849295368182575
Pool 2,1.2050219245400429
Pool 2,1.1840950214548334
Pool 2,1.153175442147987
Pool 2,1.2273513458979526
Pool 2,1.1518770592311847
Pool 2,1.1671798931289796
Pool 2,1.2150495298170347
Pool 2,1.1703241324221116
Pool 2,1.1955747402762897
Pool 2,1.1836296278651162
Pool 2,1.2563755324301424
Pool 2,1.152909884955187
Pool 2,1.2212308617783605
Pool 2,1.1176710675935067
Pool 2,1.1198577182410392
Pool 2,1.2188771681921704
Pool 2,1.1429706132455009
Pool 2,1.3095982887605584
Pool 2,1.1436847486942956
Pool 2,1.2210408786418898
Pool 2,1.1667454478098644
Pool 2,1.1405246333997139
Pool 2,1.2040137723033648
Pool 2,1.1873947584836595
Pool 2,1.176576448890152
Pool 2,1.1876892383920479
Pool 2,1.2306244141825151
Pool 2,1.3207214052602843
Pool 2,1.305872833689149
Pool 2,1.2345130709480623
Pool 2,1.2034709020975825
Pool 2,1.27599991461575
Pool 2,1.1745571548880918
Pool 2,1.2771990683390615
Pool 2,1.1875193319808113
Pool 2,1.1145958685631592
Pool 2,1.1765938404265768
Pool 2,1.1893727070505438
Pool 2,1.0926306170021967
Pool 2,1.1813856205166182
Pool 2,1.1645331285074627
Pool 2,1.3378911970113616
Pool 2,1.177604169739416
Pool 2,1.2170264371466537
Pool 2,1.1831057002314087
Pool 2,1.24590707767443
Pool 2,1.2094600777682118
Pool 2,1.095738310097775
Pool 2,1.2902726647006246
Pool 2,1.217962741594339
Pool 2,1.2627224190411608
Pool 2,1.1673718712797498
Pool 2,1.1469807363962343
Pool 2,1.1932632875435916
Pool 2,1.1992973642604765
Pool 2,1.205839790825886
Pool 2,1.1570252130491834
Pool 2,1.1611009584382892
Pool 2,1.1599039520693148
Pool 2,1.1895892355703894
