"","OLS_best","OLS_hybrid","SP_best","SP_hybrid","DLasso_best","DLasso_hybrid","OLS_prct_diff","SP_prct_diff","DL_prct_diff","OLS_abs_diff","SP_abs_diff","DL_abs_diff","n"
"1",5.52735528501328,5.1309274055157,4.51160297517774,4.47981126893812,5.50095238894705,5.22637470203218,0.0717210779941081,0.00704665424119442,0.0499145725141281,0.396427879497583,0.0317917062396216,0.274577686914864,1000
"2",6.32517553556868,6.19019815119603,4.97090227463837,4.97090234067292,6.5615105265938,6.38958166473466,0.0213397056909539,-1.3284217267424e-08,0.0262026344638657,0.134977384372657,-6.60345458314282e-08,0.171928861859144,1000
"3",6.6519618004786,6.58489436934838,4.68211832147153,4.68211834018463,6.12413005249616,5.88969464462747,0.0100823536186566,-3.99671649231602e-09,0.0382806057120117,0.0670674311302211,-1.87130995144003e-08,0.234435407868687,1000
"4",5.57780090837722,4.1735964157979,5.06287837974588,5.06287846316138,5.72762637811776,4.09460455547324,0.251748765444525,-1.6475904948288e-08,0.285113189101063,1.40420449257931,-8.34155029494354e-08,1.63302182264453,1000
"5",6.21773686949591,5.66083922021342,5.52205020139178,5.52205031449721,5.79065974594216,5.67533510181815,0.0895659724705665,-2.04825077648829e-08,0.0199156312378433,0.556897649282497,-1.1310543612808e-07,0.115324644124008,1000
"6",6.81845275322114,3.33128038645333,6.11520391036713,6.01684648461941,6.05605260851911,4.46185547249714,0.51143162429635,0.0160840794827753,0.263240305042826,3.48717236676781,0.0983574257477233,1.59419713602197,1000
"7",6.0659667795224,2.68450078769288,5.29501121675933,5.26572651124379,6.14927854946828,5.43599600019199,0.557448814794822,0.00553062199808968,0.115994509524693,3.38146599182953,0.0292847055155407,0.713282549276291,1000
"8",5.22752615853283,4.62733847820522,5.08063063699383,5.08063109269061,5.69444537866106,5.38757259906125,0.114812946339433,-8.96929562886572e-08,0.0538898451374671,0.60018768032761,-4.556967816427e-07,0.30687277959981,1000
"9",5.27373311268721,2.85239110432157,5.20265713187364,5.1937080384479,5.65958237966223,3.93922269460215,0.459132450699966,0.00172010055610013,0.303972902884533,2.42134200836564,0.00894909342573413,1.72035968506008,1000
"10",6.74487323539473,5.82120465409496,5.4393292866764,5.4393292866864,5.9714668776537,5.52897822973542,0.136943801471714,-1.83699252150477e-12,0.0741004943984784,0.923668581299775,-9.99200722162641e-12,0.442488647918277,1000
"11",6.18027961001028,5.47544250293069,5.18236219949962,5.18236206968425,5.88950724737229,5.30890576850838,0.114046151882505,2.504945979545e-08,0.0985823523900005,0.704837107079583,1.29815373561826e-07,0.580601478863917,1000
"12",5.25658986963872,3.52507949005364,5.0331305653213,5.03313100160385,5.53807474606152,4.68902993863742,0.329398036089144,-8.66821428284601e-08,0.153310463718084,1.73151037958508,-4.36282542537469e-07,0.849044807424101,1000
"13",5.60732821014789,2.3407604100856,5.36788769966505,5.23964817171497,5.47804825738444,3.08300112276134,0.582553344059762,0.0238901286921637,0.437208111738439,3.26656780006229,0.128239527950081,2.3950471346231,1000
"14",5.32865266364226,0.550076556655942,5.42765467109967,5.42214541714744,5.99504248701134,2.76925784789735,0.896770048382183,0.00101503398540864,0.538075359115948,4.77857610698632,0.00550925395222812,3.22578463911399,1000
