"","deviations_SP_hybrid_over_n","deviations_ols_hybrid_over_n","deviations_debiased_lasso_over_n","nobs_list","nsim"
"1",0.148627633483405,4.6310324173031,1.54322054716417,1000,20
"2",0.0662977602305071,1.75123812590102,0.481038516953785,2000,20
"3",0.048275870039047,0.976397553457784,0.311073844994726,3000,20
"4",0.0238077343327219,1.21812921359676,0.504372645851835,4000,20
"5",0.0135407253087955,0.724797144111067,0.223575232542271,5000,20
"6",0.0112709696093339,0.774570237431402,0.2572146756203,6000,20
"7",0.00629631598154586,0.40461818117602,0.14988845370388,7000,20
"8",0.00290129707131309,0.468004805369421,0.201137156359568,8000,20
"9",0.00518805749065945,0.466200162314027,0.125464402247489,9000,20
"10",0.00376013337674449,0.60698879780528,0.180573209837728,10000,20
