"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 2, 3)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 4, 2)Xc(1, 5, 2)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)","c(1, 2, 3)","c(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"1",0.143286514965762,-1.42589594151045,-0.942990565412489,NA,NA,NA,NA,NA,0.96
"2",0.252982369431021,0.605670101173357,-2.30216761633313,NA,NA,NA,NA,NA,0.96
"3",0.00563085479857431,-0.304046756757901,-1.2394715230604,NA,NA,NA,NA,NA,0.96
"4",-2.05254823528876,1.67198482349369,0.275530513879697,NA,NA,NA,NA,NA,0.96
"5",-0.42075550456804,-0.627641529282982,-0.616445875009581,NA,NA,NA,NA,NA,0.96
"6",0.416513974019513,-1.39503615392069,0.0814113150500022,NA,NA,NA,NA,NA,0.96
"7",-0.825412358800607,-2.8008894371703,-0.925767478656329,NA,NA,NA,NA,NA,0.96
"8",1.21093875664855,-2.02603912522768,-1.74385338052565,NA,NA,NA,NA,NA,0.96
"9",-0.302578137753818,-0.760922272639786,-1.36535130083729,NA,NA,NA,NA,NA,0.96
"10",-1.59014474191873,0.315030781781632,1.4619398337763,NA,NA,NA,NA,NA,0.96
"11",-0.0191267035947726,1.02077174272505,-0.599989397970849,NA,NA,NA,NA,NA,0.96
"12",-0.256628127603164,-0.611022239981824,-0.510061662315673,NA,NA,NA,NA,NA,0.96
"13",-0.089573546466759,-1.3969659945723,-0.70048810520103,NA,NA,NA,NA,NA,0.96
"14",1.64106089439304,-0.510894387717738,-0.612053823016729,NA,NA,NA,NA,NA,0.96
"15",1.33593863733157,0.402177157051066,2.4808229111594,NA,NA,NA,NA,NA,0.96
"16",1.10263027646213,0.242553303386232,0.512617961842773,NA,NA,NA,NA,NA,0.96
"17",1.29821636558697,-0.246970138834041,-1.26188074355697,NA,NA,NA,NA,NA,0.96
"18",-0.465686597648484,-0.82423909592758,-0.816169314560229,NA,NA,NA,NA,NA,0.96
"19",-0.267735754359958,-0.387467775335744,-0.879401139549798,NA,NA,NA,NA,NA,0.96
"20",-0.10966365813033,-2.44061347966615,-2.4257038072471,NA,NA,NA,NA,NA,0.96
"21",0.221268874748987,0.444084722972626,-0.673335920765906,NA,NA,NA,NA,NA,0.96
"22",-1.21379836252807,-0.730401100498594,0.292913541566177,NA,NA,NA,NA,NA,0.96
"23",-1.00974439685795,-1.39160716266143,0.859261545692894,NA,NA,NA,NA,NA,0.96
"24",0.296931425948761,0.5971079175687,0.737536720943158,NA,NA,NA,NA,NA,0.96
