"","deviations_Victor_vanilla_hybrid_over_n","deviations_SP_hybrid_over_n","nobs_list","nsim"
"1",0.649996108392496,0.585673939162126,1000,20
"2",0.414856488743057,0.391574712196009,1292,20
"3",0.264953177491603,0.255083141031068,1668,20
"4",0.261608090736868,0.257251740727802,2154,20
"5",0.177764473054564,0.171341805447173,2783,20
"6",0.136343940244744,0.141025439330335,3594,20
"7",0.0539915134985058,0.0476989997388303,4642,20
"8",0.0970861381831693,0.0944658333727993,5995,20
"9",0.041528173784715,0.0401305783766722,7743,20
"10",0.0222640713419418,0.021815523909471,10000,20
