"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 2, 3)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 4, 2)Xc(1, 5, 2)Xc(1, 4, 3)Xc(1, 5, 3)","c(3, 3, 2)Xc(4, 3, 2)Xc(5, 3, 2)Xc(3, 3, 3)Xc(4, 3, 3)Xc(5, 3, 3)","c(3, 4, 2)Xc(4, 4, 2)Xc(5, 4, 2)Xc(3, 5, 2)Xc(4, 5, 2)Xc(5, 5, 2)Xc(3, 4, 3)Xc(4, 4, 3)Xc(5, 4, 3)Xc(3, 5, 3)Xc(4, 5, 3)Xc(5, 5, 3)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)","c(2, 5, 1)","c(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(5, 4, 3)Xc(5, 5, 3)","c(1, 3, 3)","c(1, 4, 2)Xc(1, 5, 2)","c(1, 4, 3)Xc(1, 5, 3)","c(2, 4, 1)Xc(2, 5, 1)","c(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","support_detection_rate"
"32",1.71728770357856,-1.60295977908662,1.40081079720601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"33",-2.47536052845427,0.227176517036236,NA,0.0554329038090969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"34",-1.18558990920544,-0.487109963392407,NA,NA,NA,-0.365199332206618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"35",0.875655207583416,-0.98660572825526,-0.304965245729285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"36",0.966645784172547,-0.437902249098912,NA,0.722296439369299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"37",0.918157794797764,-0.667101374308341,NA,NA,NA,-0.0917405356215959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"38",-0.223929054931526,-0.595347618512853,-0.178198547942742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"39",0.147408231605016,-0.833579404450286,1.34261060897105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"40",0.89368565925361,-0.908138890687047,0.195974346436288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"41",0.357566968898689,2.59593780178135,1.1619787160179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"42",0.496478066784388,-1.45298344018774,0.219098195544906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
