"","support_acc_Victor_vanilla_over_n","support_acc_backward_over_n","deviations_Victor_vanilla_hybrid_over_n","deviations_SP_hybrid_over_n","thickness_Victor_vanilla_over_n","thickness_backward_over_n","cover_some_best_vanilla_over_n","cover_some_best_backward_over_n","cover_min_vanilla_over_n","cover_min_backward_over_n","backward_superset_over_n","backward_subset_over_n","backward_equal_over_n","lasso_superset_over_n","lasso_subset_over_n","lasso_equal_over_n","nobs_list","nsim","ncomb","c"
"1",0.393159778130366,0.530076118326118,0.657629205953454,0.632721600095433,0.67,0.695,0.81,0.8,0.53,0.59,0.2,0,0.01,0.23,0,0,1000,20,5,0.4
"2",0.419930510665805,0.556573704073704,0.483165631377102,0.55658279241642,0.735,0.775,0.89,0.88,0.57,0.68,0.31,0,0.03,0.33,0,0,1292,20,5,0.4
"3",0.437346546771082,0.637652236652237,0.384198104539773,0.46854050031604,0.7425,0.795,0.88,0.87,0.6,0.75,0.39,0.01,0.05,0.43,0,0,1668,20,5,0.4
"4",0.451059741728859,0.712287157287157,0.384768032344293,0.328974654735667,0.7975,0.92,0.96,0.97,0.63,0.89,0.43,0.01,0.12,0.58,0,0,2154,20,5,0.4
"5",0.452983884579473,0.804049062049062,0.18685792355792,0.142509092926749,0.835,0.955,0.99,1,0.65,0.91,0.49,0,0.27,0.6,0,0,2783,20,5,0.4
"6",0.485411071298842,0.838257936507936,0.125631176820378,0.103190859008255,0.8525,0.98,1,1,0.7,0.96,0.44,0,0.35,0.77,0,0,3594,20,5,0.4
"7",0.47514135211194,0.874384920634921,0.114743377608188,0.0887207638092303,0.8425,0.99,1,1,0.68,0.98,0.34,0,0.48,0.89,0,0,4642,20,5,0.4
"8",0.505708673679262,0.910898268398268,0.0830467072769335,0.0560240527365236,0.8575,1,1,1,0.7,1,0.26,0.02,0.61,0.96,0,0,5995,20,5,0.4
"9",0.498428863963694,0.94556746031746,0.0594090149194136,0.037854182761987,0.8525,0.995,1,1,0.71,0.99,0.2,0.01,0.74,0.99,0,0,7743,20,5,0.4
"10",0.49726728173787,0.974126984126984,0.0461785911746089,0.0270861866907855,0.8475,1,1,1,0.69,1,0.13,0,0.85,1,0,0,10000,20,5,0.4
