"","support_acc_n_Victor_vanilla","support_acc_n_backward","nobs_list","ncomb","nsim"
"1",0.519016594516595,0.56690873015873,1000,5,20
"2",0.572035714285714,0.672961038961039,1292,5,20
"3",0.623095238095238,0.784738095238095,1668,5,20
"4",0.598702380952381,0.838,2154,5,20
"5",0.65477380952381,0.86452380952381,2783,5,20
"6",0.697285714285714,0.911666666666667,3594,5,20
"7",0.679333333333333,0.897,4642,5,20
"8",0.701559523809524,0.96,5995,5,20
"9",0.733892857142857,0.963333333333333,7743,5,20
"10",0.729607142857143,0.971666666666667,10000,5,20
