"","Lasso_best","Lasso_hybrid","SP_best","SP_hybrid","Lasso_prct_diff","SP_prct_diff","Lasso_abs_diff","SP_abs_diff","n","sim"
"1",5.24658997191953,4.95802170756857,4.51160297517774,4.47981126893812,0.0550011085096062,0.00704665424119442,0.288568264350958,0.0317917062396216,1000,1
"2",5.45354918315967,4.70969289006845,4.74533126719519,4.74533127616822,0.13639856689809,-1.89091683189501e-09,0.743856293091226,-8.97302676605705e-09,1000,2
"3",5.38914370056513,5.00097468644485,4.73349140742386,4.733491408735,0.0720279576288844,-2.76991144074735e-10,0.388169014120274,-1.31113520041026e-09,1000,3
"4",5.09939894047752,2.87654318638179,4.70239388188119,4.70239408220632,0.435905442982968,-4.26006712893269e-08,2.22285575409573,-2.00325136034962e-07,1000,4
"5",6.59263286502539,6.56723245711003,5.1655584894216,5.16555822921379,0.00385284732752381,5.03736065299924e-08,0.0254004079153587,2.60207810853785e-07,1000,5
"6",5.69817010542913,5.66350330479825,5.08323729926627,4.98894966003209,0.00608384797039482,0.0185487384678646,0.0346668006308795,0.0942876392341843,1000,6
"7",5.86177234529814,3.89614008669639,5.17277249035022,5.17277252772902,0.335330705938866,-7.22606595204297e-09,1.96563225860175,-3.73787951701843e-08,1000,7
"8",6.05673069228702,5.86062655635166,5.15494209921016,5.15494209933072,0.0323778860078902,-2.33863192099924e-11,0.196104135935359,-1.20555121441157e-10,1000,8
"9",5.93879666704779,4.0862435287357,5.14704834303546,5.14704911851854,0.311940826092132,-1.50665591845009e-07,1.85255313831209,-7.75483084858308e-07,1000,9
"10",5.37152536325899,1.41649969083088,4.99510178529741,4.99391537083421,0.73629470308012,0.000237515573093979,3.95502567242811,0.00118641446319767,1000,10
"11",5.13666767035638,4.92246009779047,4.8248512163021,4.82485174839617,0.0417016607482889,-1.10281962941126e-07,0.214207572565905,-5.32094063032673e-07,2000,1
"12",5.45655175397291,5.18494754975723,5.06921342329817,5.06921376748433,0.0497757954953734,-6.7897350480354e-08,0.271604204215676,-3.44186160461391e-07,2000,2
"13",5.83660117365145,5.61738176275198,5.10733373533958,5.10733369883467,0.0375594296024723,7.14754779574279e-09,0.219219410899469,3.65049119821492e-08,2000,3
