"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 2, 3)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"1",-1.07281594805504,0.569254022051996,-1.55868470598778,NA,0.995
"2",-0.802866737306383,-0.249754571218324,-0.859679395854539,NA,0.995
"3",1.61518262150411,-0.402388188853876,-1.66771956838502,NA,0.995
"4",-0.345655281716301,1.0021760985716,-1.48286400994085,NA,0.995
"5",-0.294091558194735,-0.223559355630644,1.70322689791138,NA,0.995
"6",0.433558173196711,2.14810337483978,-2.21530241352155,NA,0.995
"7",0.685471925802118,0.0104984549805661,-0.024579251113319,NA,0.995
"8",-1.39604730181966,-0.501388723430696,-0.562940132634856,NA,0.995
"9",-0.871743326946584,-0.153197597739321,-0.195258900895956,NA,0.995
"10",-1.64284773676819,-0.549046726889875,-0.880998671998428,NA,0.995
"11",0.270205922582752,-1.27820314197792,0.93561596615314,NA,0.995
"12",1.10753622607179,0.138082858500349,-1.24764054697802,NA,0.995
"13",-0.872861161009422,-0.60219406894483,-1.31929376590959,NA,0.995
"14",-0.209340739666405,0.541682701594744,-2.094495460098,NA,0.995
"15",0.0906951708044621,0.913229687129221,0.0391794046321225,NA,0.995
"16",-0.965777595038464,1.23570377433916,-1.19128319098744,NA,0.995
"17",-0.57668050702673,0.678169892392258,0.971389659130273,NA,0.995
"18",-1.36159268088881,0.633026463774121,-0.457903006744655,NA,0.995
"19",0.983558359886847,0.279401532356194,0.0919485298074547,NA,0.995
"20",0.0762873427500973,0.386849938238654,0.46754403298933,NA,0.995
"21",-0.907244684192579,0.283226334620937,1.26362901003355,NA,0.995
"22",0.851074002417853,-0.244272119550428,1.18457806197087,NA,0.995
"23",0.386998176946715,1.39899045425139,1.19355438711513,NA,0.995
"24",0.693046356897025,-0.374029451504435,-0.326771391061704,NA,0.995
"25",1.40891870924427,1.17040583520717,0.957155222018482,NA,0.995
"26",0.617152761149591,0.762633703160874,-1.71861331503333,NA,0.995
"27",-0.490573040211755,-0.59930827510189,-0.830167832986494,NA,0.995
"28",0.708329935028858,0.729409885927766,-0.588122835206439,NA,0.995
"29",-0.764443455103923,0.720236402905542,-0.469964441209223,NA,0.995
"30",-0.0541181169679578,-0.255856021968916,-0.896609692370103,NA,0.995
"31",-0.641536212971412,0.0218225501632638,-0.3950329152995,NA,0.995
"32",1.41183891923866,-0.109231553020275,-1.24685786195113,NA,0.995
"33",-1.3071074144747,0.84937615728391,-0.665072229365368,NA,0.995
"34",1.42516044212905,-0.268501526492514,-1.73442737783199,NA,0.995
"35",-0.37643743489542,2.05071285791893,-0.469052113564907,NA,0.995
"36",-0.211624688063954,-1.044362686593,0.938374113501881,NA,0.995
"37",-0.290914887096275,0.638118693769113,1.28205280846581,NA,0.995
"38",0.230126999322823,-1.10564721523503,-0.832582211797512,NA,0.995
"39",0.80858217790312,-1.00580355900697,1.65508166222693,NA,0.995
"40",-1.9114369182546,-1.25490248060553,-0.465423542683678,NA,0.995
"41",2.48589990862965,1.82547438855891,0.496251135387037,NA,0.995
"42",-1.17398134599883,0.157447622371078,-1.08899596175959,NA,0.995
"43",0.524352214544453,-0.300725971861786,-1.12234934284198,NA,0.995
"44",-0.333231343108875,0.696376415296757,0.35349843956266,NA,0.995
"45",-0.444649620976379,-0.121184892937516,1.35624836004335,NA,0.995
"46",-0.432891746614573,-1.06765216737452,-0.137338629336641,NA,0.995
"47",-1.44303351485341,1.89942321180606,0.312245821844432,NA,0.995
"48",1.06873844175799,1.20636079487766,1.6959480872637,NA,0.995
"49",0.195257244942124,-0.0588843222362531,0.152895640292503,NA,0.995
"50",-0.17036087343712,0.878491525719416,0.554378431646114,NA,0.995
"51",0.683660264049171,-0.402773672397753,-1.14811883796915,NA,0.995
"52",1.49071045852638,-1.07892312524684,-0.538477595022314,NA,0.995
"53",-0.837885975670909,-1.74622011665714,-0.506039885162259,NA,0.995
"54",-0.740411288710069,-0.552190667430374,0.916800710035471,NA,0.995
"55",0.561806779563587,-1.17256763087728,-1.46542049062183,NA,0.995
"56",1.10782808033057,0.870363354286022,0.765079854559048,NA,0.995
"57",-0.0288930047658455,1.05693677531123,0.428694759869781,NA,0.995
"58",1.57858180492323,-0.129116649463642,-0.507378221195932,NA,0.995
"59",0.143813976560821,-0.445840880833566,-0.747223316541758,NA,0.995
"60",-1.09451026604559,0.174033975287305,-1.02263619306635,NA,0.995
"61",1.87908476931851,0.868268080944087,0.591175739749716,NA,0.995
"62",0.62520627840327,0.0364380476463217,1.40108984260012,NA,0.995
"63",-1.5997635097409,-2.0416479344627,-1.14843877087291,NA,0.995
"64",-0.170833102703297,-0.0550360339083052,0.56391493729938,NA,0.995
"65",0.0595612005546586,-0.0880625754836519,-0.557755916675873,NA,0.995
"66",-0.631349716831114,-1.00941822756085,-1.7201893374392,NA,0.995
"67",-1.42700788760518,0.749496299270515,-0.163642832534932,NA,0.995
"68",-1.02396994892908,-2.07226787552787,-1.29666117330139,NA,0.995
"69",-0.579737454007381,1.88600892859737,-2.19543584948593,NA,0.995
"70",-0.787683001116736,-1.17610275455325,-0.0853496058099438,NA,0.995
