"","mse_ols_over_n","mse_hybrid_ols_over_n","mse_puffer_over_n","mse_hybrid_puffer_over_n","ols_some_best_acc_over_n","ols_min_best_acc_over_n","puffer_some_best_acc_over_n","puffer_min_best_acc_over_n","theoretical_random_rate","nobs","ncomb","nsim"
"1",1.25439524814453,6.65795096265505,0.352191284727682,0.417928425836925,0.94,0.34,1,0.89,0.366666666666667,1000,5,20
"2",0.580095849858525,2.70739845448002,0.0765282525911666,0.0686902939963623,0.99,0.33,1,0.98,0.366666666666667,2000,5,20
"3",0.42396609264851,1.82846807228213,0.0573794646479638,0.0602293409197811,1,0.38,1,1,0.366666666666667,3000,5,20
"4",0.264215718908066,1.27275097591324,0.0258752172773529,0.0248292020157534,1,0.36,1,1,0.366666666666667,4000,5,20
"5",0.243512063472364,1.0696254526629,0.0336073343735998,0.0276042695961376,1,0.41,1,1,0.366666666666667,5000,5,20
"6",0.208320012674702,0.863842168021012,0.0253745486422875,0.0252689220768743,1,0.38,1,1,0.366666666666667,6000,5,20
"7",0.171471236742595,0.721728652249294,0.0292871211749674,0.0267690897600036,1,0.34,1,1,0.366666666666667,7000,5,20
"8",0.151902204360087,0.691888187460222,0.0191892427555435,0.0219357863848695,1,0.39,1,1,0.366666666666667,8000,5,20
"9",0.12306742416827,0.609967988664501,0.011670197233804,0.012791731501905,1,0.34,1,1,0.366666666666667,9000,5,20
"10",0.106466784061268,0.534483535901055,0.0172889210165947,0.0174561608989736,1,0.41,1,1,0.366666666666667,10000,5,20
