Policies,estimate,Pooling
"c(1, 1, 2)",-0.08689224193820935,Pruned
"c(1, 1, 2)",0.24621218969645098,Pruned
"c(1, 1, 2)",0.026641117681045115,Pruned
"c(1, 1, 2)",-0.09618901990528528,Pruned
"c(1, 1, 2)",0.09022684651780476,Pruned
"c(1, 1, 2)",0.1861267595906666,Pruned
"c(1, 1, 2)",-0.08433734337752942,Pruned
"c(1, 1, 2)",0.2064025437309479,Pruned
"c(1, 1, 2)",-0.10919345446169139,Pruned
"c(1, 1, 2)",-0.17401906526863697,Pruned
"c(1, 1, 2)",0.46757772822996646,Pruned
"c(1, 1, 2)",-0.17560104485178232,Pruned
"c(1, 1, 2)",0.09236506396845785,Pruned
"c(1, 1, 2)",-0.03548554914090358,Pruned
"c(1, 1, 2)",0.07351110862338606,Pruned
"c(1, 1, 2)",-0.16809138693758283,Pruned
"c(1, 1, 2)",-0.05824276475688568,Pruned
"c(1, 1, 2)",0.01338152361855337,Pruned
"c(1, 1, 2)",-0.11833736638943058,Pruned
"c(1, 1, 2)",-0.09052414521945813,Pruned
"c(1, 1, 2)",0.05805656500261926,Pruned
"c(1, 1, 2)",-0.058507825760947284,Pruned
"c(1, 1, 2)",-0.005501807222824283,Pruned
"c(1, 1, 2)",-0.24262434915047573,Pruned
"c(1, 1, 2)",0.32204790846374837,Pruned
"c(1, 1, 2)",0.15818019115287002,Pruned
"c(1, 1, 2)",0.044283715176405565,Pruned
"c(1, 1, 2)",-0.05332769924736945,Pruned
"c(1, 1, 2)",0.12335810958490726,Pruned
"c(1, 1, 2)",0.07577478446393009,Pruned
"c(1, 1, 2)",0.03212588649688914,Pruned
"c(1, 1, 2)",-0.032123954229148786,Pruned
"c(1, 1, 2)",0.3009240387336292,Pruned
"c(1, 1, 2)",0.08608003383428596,Pruned
"c(1, 1, 2)",0.17106163279960715,Pruned
"c(1, 1, 2)",0.13372341077573763,Pruned
"c(1, 1, 2)",-0.003583336487520695,Pruned
"c(1, 1, 2)",0.20580831692063287,Pruned
"c(1, 1, 2)",0.05375199659081272,Pruned
"c(1, 1, 2)",-0.02936534985786451,Pruned
"c(1, 1, 2)",-0.16294800033686024,Pruned
"c(1, 1, 2)",0.09140818884823802,Pruned
"c(1, 1, 2)",-0.034364169990586974,Pruned
"c(1, 1, 2)",0.1392858931970965,Pruned
"c(1, 1, 2)",-0.29606005461576623,Pruned
"c(1, 1, 2)",-0.007572116453815443,Pruned
"c(1, 1, 2)",-0.3263555744869041,Pruned
"c(1, 1, 2)",0.17271690223204547,Pruned
"c(1, 1, 2)",0.1672432997404508,Pruned
"c(1, 1, 2)",0.3266847177623089,Pruned
"c(1, 1, 2)",0.04366478654220818,Pruned
"c(1, 1, 2)",-0.15802250154463623,Pruned
"c(1, 1, 2)",0.3386988652271454,Pruned
"c(1, 1, 2)",-0.02104995468385476,Pruned
"c(1, 1, 2)",0.24694030947337148,Pruned
"c(1, 1, 2)",0.08309035994918647,Pruned
"c(1, 1, 2)",0.22449483248460367,Pruned
"c(1, 1, 2)",-0.08710970197369919,Pruned
"c(1, 1, 2)",0.2754178927694451,Pruned
"c(1, 1, 2)",0.18339467110893315,Pruned
"c(1, 1, 2)",0.24064434814088892,Pruned
"c(1, 1, 2)",0.14926099749648228,Pruned
"c(1, 1, 2)",0.2735190350424827,Pruned
"c(1, 1, 2)",0.16653784148051282,Pruned
"c(1, 1, 2)",0.03029408264250995,Pruned
"c(1, 1, 2)",0.2185754027428054,Pruned
"c(1, 1, 2)",-0.07465354658393539,Pruned
"c(1, 1, 2)",0.1281662441370884,Pruned
"c(1, 1, 2)",-0.06632567759261868,Pruned
"c(1, 1, 2)",0.014960506932022766,Pruned
"c(1, 1, 2)",-0.13997526923407994,Pruned
"c(1, 1, 2)",-0.41140775867709034,Pruned
"c(1, 1, 2)",-0.1439272361328567,Pruned
"c(1, 1, 2)",-0.44376993107373697,Pruned
"c(1, 1, 2)",0.1660815562563134,Pruned
"c(1, 1, 2)",0.2991767046116089,Pruned
"c(1, 1, 2)",0.2052902276966184,Pruned
"c(1, 1, 2)",-0.007985325527093275,Pruned
"c(1, 1, 2)",0.09290696428937321,Pruned
"c(1, 1, 2)",0.3121469946611893,Pruned
"c(1, 1, 2)",-0.015419991962554102,Pruned
"c(1, 1, 2)",-0.10258615271456771,Pruned
"c(1, 1, 2)",0.44011265243930925,Pruned
