"","support_acc_Victor_vanilla_over_n","support_acc_backward_over_n","deviations_Victor_vanilla_hybrid_over_n","deviations_SP_hybrid_over_n","thickness_Victor_vanilla_over_n","thickness_backward_over_n","cover_some_best_vanilla_over_n","cover_some_best_backward_over_n","cover_min_vanilla_over_n","cover_min_backward_over_n","backward_superset_over_n","backward_subset_over_n","backward_equal_over_n","lasso_superset_over_n","lasso_subset_over_n","lasso_equal_over_n","nobs_list","nsim","ncomb","c"
"1",0.51490873015873,0.588763708513709,0.463099184975961,0.455184852557246,0.7575,0.8175,0.95,0.98,0.82,0.93,0.18,0.13,0.2,0.23,0.16,0.02,1000,20,5,0.4
"2",0.566365079365079,0.677674963924964,0.440993962836239,0.540169323514134,0.85,0.855,0.99,1,0.89,0.94,0.14,0.15,0.35,0.27,0.15,0.09,1292,20,5,0.4
"3",0.576892857142857,0.71725,0.306728572953256,0.280942203613738,0.85,0.89,1,1,0.91,0.99,0.12,0.14,0.39,0.38,0.17,0.06,1668,20,5,0.4
"4",0.63097619047619,0.818833333333333,0.179485305674489,0.204569246674398,0.89,0.885,1,1,0.94,1,0.07,0.1,0.6,0.43,0.11,0.15,2154,20,5,0.4
"5",0.67475,0.855,0.133268443113836,0.16583890835832,0.92,0.895,1,1,0.94,1,0.04,0.13,0.65,0.61,0.05,0.18,2783,20,5,0.4
"6",0.725821428571429,0.891666666666667,0.0819513876416994,0.115854511549857,0.94,0.9,0.99,1,0.95,1,0,0.09,0.76,0.61,0.04,0.29,3594,20,5,0.4
"7",0.682690476190476,0.9225,0.0932101006384005,0.132814622467094,0.8875,0.875,1,1,0.9,1,0.01,0.12,0.8,0.71,0.02,0.19,4642,20,5,0.4
"8",0.726357142857143,0.91,0.0574845228718237,0.0844656411241504,0.95,0.915,1,1,0.92,1,0,0.08,0.8,0.71,0.01,0.26,5995,20,5,0.4
"9",0.701583333333333,0.923333333333333,0.0571540075006428,0.0748282327510815,0.96,0.92,1,1,0.92,1,0,0.08,0.82,0.77,0,0.22,7743,20,5,0.4
"10",0.745940476190476,0.973333333333333,0.032715917620269,0.0584588410985111,0.955,0.95,1,1,0.92,1,0,0.05,0.93,0.69,0,0.31,10000,20,5,0.4
