"","support_acc_Victor_vanilla_over_n","support_acc_backward_over_n","deviations_Victor_vanilla_hybrid_over_n","deviations_SP_hybrid_over_n","thickness_Victor_vanilla_over_n","thickness_backward_over_n","cover_some_best_vanilla_over_n","cover_some_best_backward_over_n","cover_min_vanilla_over_n","cover_min_backward_over_n","backward_superset_over_n","backward_subset_over_n","backward_equal_over_n","lasso_superset_over_n","lasso_subset_over_n","lasso_equal_over_n","nobs_list","nsim","ncomb","c"
"1",0.262222582972583,0.349787878787879,0.703742425973114,0.699286580951866,0.705,0.7875,0.97,0.98,0.55,0.68,0.38,0,0,0.37,0,0,1000,20,5,0.4
"2",0.286436868686869,0.425191558441558,0.487928290126155,0.463524407365065,0.6975,0.7975,0.97,0.98,0.56,0.7,0.45,0,0.01,0.47,0,0,1292,20,5,0.4
"3",0.292375069375069,0.464000721500721,0.476228382287781,0.378600354894762,0.7325,0.7975,0.99,0.99,0.54,0.69,0.56,0.01,0.02,0.56,0,0,1668,20,5,0.4
"4",0.31335298035298,0.5885,0.335569467883061,0.247490865978307,0.7525,0.8925,0.99,0.99,0.6,0.82,0.55,0.04,0.12,0.64,0,0,2154,20,5,0.4
"5",0.323892829392829,0.638484126984127,0.203103791171279,0.178368929593372,0.7725,0.9125,1,1,0.58,0.89,0.5,0.01,0.2,0.71,0,0,2783,20,5,0.4
"6",0.332765151515152,0.709690476190476,0.17698978848442,0.135465880802329,0.76,0.935,1,1,0.58,0.94,0.47,0.03,0.28,0.84,0,0,3594,20,5,0.4
"7",0.352512598512599,0.801833333333333,0.13123917920309,0.0865756985788923,0.7625,0.96,1,1,0.58,0.94,0.33,0.03,0.49,0.94,0,0,4642,20,5,0.4
"8",0.357209873459873,0.864833333333333,0.0941330681843621,0.075237530362031,0.7625,0.9825,1,1,0.58,0.97,0.27,0.01,0.62,0.99,0,0,5995,20,5,0.4
"9",0.336620920745921,0.894666666666667,0.0944935334986373,0.0643188835606099,0.7475,0.965,1,1,0.56,0.99,0.22,0.01,0.69,0.98,0,0,7743,20,5,0.4
"10",0.355555860805861,0.925166666666667,0.0669507073502148,0.057866689853126,0.775,0.97,1,1,0.61,1,0.18,0.01,0.76,1,0,0,10000,20,5,0.4
