"","OLS_best","OLS_hybrid","SP_best","SP_hybrid","OLS_prct_diff","SP_prct_diff","OLS_abs_diff","SP_abs_diff","True_best","n","comb","sim","true_best"
"1",5.89460967329206,3.59914546044797,4.9309947245673,4.93099472380345,0.389417508549316,1.54908316750623e-10,2.29546421284409,7.63852092688921e-10,5,1000,1,1,6
"2",7.16324081448234,6.97324451411427,4.70579675912643,4.70579656264986,0.0265237907378386,4.17520288673554e-08,0.189996300368074,1.96476562130954e-07,5,1000,1,2,6
"3",6.58843181046749,6.43654870256778,5.21631366697771,5.21631366461284,0.0230529983870222,4.53359553820807e-10,0.151883107899713,2.36486563665039e-09,5,1000,1,3,6
"4",4.92214928854225,2.18147233613572,4.86517786155956,4.86517786117144,0.556804922350945,7.97765004745747e-11,2.74067695240653,3.88126863981597e-10,5,1000,1,4,6
"5",6.24390368157115,5.96403444857616,4.50495294649395,4.50495294521587,0.0448227979270447,2.83704894326079e-10,0.279869232994995,1.27807719962902e-09,5,1000,1,5,6
"6",5.71513450950607,4.92980117910567,5.31150836370534,5.31150835900891,0.137412921619629,8.841987439097e-10,0.785333330400393,4.69642902345413e-09,5,1000,1,6,6
"7",5.51772430640635,2.18741113740145,4.87075839639728,4.87075839713919,0.603566431388797,-1.52319851892608e-10,3.33031316900491,-7.41913197543909e-10,5,1000,1,7,6
"8",5.92421266088131,4.01345349258433,5.24599449747358,5.2368221059666,0.322533858535175,0.00174845618145377,1.91075916829698,0.00917239150698013,5,1000,1,8,6
"9",5.32236771457919,4.07372475594805,5.14937220185769,5.14937200556144,0.234602910883219,3.8120423574439e-08,1.24864295863114,1.96296249477257e-07,5,1000,1,9,6
"10",6.25263318840134,4.23210034806546,5.32772073988268,5.32772073951684,0.323149108456255,6.86670590631779e-11,2.02053284033588,3.65838914717642e-10,5,1000,1,10,6
"11",5.35404186421523,5.25358052788983,4.95255455872625,4.95255458349935,0.0187636441539339,-5.00208559005459e-09,0.1004613363254,-2.47731017921637e-08,5,1000,1,11,6
"12",5.63751046495903,2.15591967404818,4.6890854318327,4.68908497370044,0.617575934014014,9.77018386169175e-08,3.48159079091085,4.58132268121858e-07,5,1000,1,12,6
"13",5.85312005240328,4.48021449982342,5.08152081146862,4.95799802635404,0.234559609283282,0.0243082316687155,1.37290555257986,0.123522785114578,5,1000,1,13,6
"14",5.33988029234753,4.19025499647801,4.47194308124368,4.47194308063252,0.215290462132087,1.36664831338267e-10,1.14962529586952,6.11157346952496e-10,5,1000,1,14,6
"15",4.69035181417114,1.4675937456463,5.09063575869853,5.09063575817988,0.687103696312886,1.01882627608067e-10,3.22275806852484,5.1864734729179e-10,5,1000,1,15,6
"16",5.73390014360893,3.99761610336976,5.39938355890626,5.39938446362139,0.302810303066483,-1.67558967271332e-07,1.73628404023917,-9.04715133032141e-07,5,1000,1,16,6
